Year,Month,Day,EnergyUse,Temp
2020,2,17,4383.96,41.6
2020,2,18,4173.54,44.8
2020,2,19,4230.24,43.4
2020,2,20,6188.28,30.6
2020,2,21,6768.3,26.7
2020,2,22,5415.48,36
2020,2,23,4737.18,40.7
2020,2,24,4171.02,45.4
2020,2,25,3741.78,46.3
2020,2,26,3647.7,46
2020,2,27,4549.44,38.4
2020,2,28,5468.4,34
2020,2,29,6093.78,29.7
2020,3,1,5531.4,33.5
2020,3,2,3993.78,46.6
2020,3,3,2905.56,51
2020,3,4,3341.52,49.5
2020,3,5,4017.3,44.4
2020,3,6,5077.8,37.4
2020,3,7,4537.26,39.2
2020,3,8,3840.06,43
2020,3,9,3057.6,53.4
2020,3,10,2458.68,57.1
2020,3,11,2780.82,50.1
2020,3,12,3735.06,43.9
2020,3,13,2185.26,57.2
2020,3,14,2526.72,49.1
2020,3,15,2012.64,45.3
2020,3,16,3658.62,39.2
2020,3,17,3119.76,45.4
2020,3,18,2821.98,46.1
2020,3,19,3197.04,46.2
2020,3,20,2042.04,59.8
2020,3,21,2008.02,49.5
2020,3,22,3504.06,38.1
2020,3,23,3740.94,38.4
2020,3,24,2753.52,44.8
2020,3,25,3682.56,42.5
2020,3,26,2447.34,46
2020,3,27,1656.06,56
2020,3,28,2785.44,47.4
2020,3,29,2881.62,47.4
2020,3,30,2835.42,48.4
2020,3,31,3680.46,43.4
2020,4,1,2958.9,45.3
2020,4,2,2503.62,47.1
2020,4,3,2358.3,50
2020,4,4,2504.88,51.1
2020,4,5,2130.66,53.9
2020,4,6,1747.62,56.3
2020,4,7,1862.7,54.4
2020,4,8,1447.32,58.4
2020,4,9,1890,51
2020,4,10,2707.74,43.4
2020,4,11,2606.52,45
2020,4,12,2131.08,52.2
2020,4,13,1768.62,61.5
2020,4,14,1916.88,50.5
2020,4,15,2520.42,44.5
2020,4,16,2768.22,42.9
2020,4,17,3508.68,41
2020,4,18,3779.16,43.5
2020,4,19,2679.18,46.6
2020,4,20,2328.48,51.8
2020,4,21,2520.42,48.6
2020,4,22,2986.62,42.6
2020,4,23,3432.24,44.1
2020,4,24,3509.1,45.7
2020,4,25,2357.04,51.3
