Year,Month,Day,NetEnergyUse,EnergyUseIn,EnergyUseOut
2019,9,15,1788.26,1030.04,-758.22
2019,9,16,2300.75,1282.99,-1017.76
2019,9,17,2042.46,1030.68,-1011.78
2019,9,18,2146.68,1056.48,-1090.2
2019,9,19,1919.59,985.61,-933.98
2019,9,20,1570.62,990.69,-579.93
2019,9,21,1519.87,1001.08,-518.79
2019,9,22,1896.92,1050.84,-846.08
2019,9,23,1726.19,1266.61,-459.58
2019,9,24,2389.57,1310.38,-1079.19
2019,9,25,1621.29,1058.39,-562.9
2019,9,26,1779.11,1207.71,-571.4
2019,9,27,1061.21,980.57,-80.64
2019,9,28,1548.84,1047.67,-501.17
2019,9,29,1511.99,1042.96,-469.03
2019,9,30,1408.96,1408.96,0
2019,10,1,1943.85,1115.09,-828.76
2019,10,2,2468.03,1310.38,-1157.65
2019,10,3,1845.25,1844.94,-0.31
2019,10,4,1189.44,1029.73,-159.71
2019,10,5,951.61,945.94,-5.67
2019,10,6,1323.29,1323.29,0
2019,10,7,1811.58,1323.95,-487.63
2019,10,8,1889.06,1518.3,-370.76
2019,10,9,2398.08,1610.89,-787.19
2019,10,10,1632.94,1106.9,-526.04
2019,10,11,1877.72,993.2,-884.52
2019,10,12,1629.82,984.7,-645.12
2019,10,13,963.62,961.42,-2.2
2019,10,14,1165.2,1004.56,-160.64
2019,10,15,1374.06,1033.85,-340.21
2019,10,16,2417.01,1652.51,-764.5
2019,10,17,1372.46,1372.46,0
2019,10,18,1742.25,1123.9,-618.35
2019,10,19,1089.92,1089.92,0
2019,10,20,2264.22,1553.89,-710.33
2019,10,21,1745.75,1165.84,-579.91
2019,10,22,2268.31,1852.51,-415.8
2019,10,23,1672.34,1211.81,-460.53
2019,10,24,1330.55,1191.02,-139.53
2019,10,25,1527.75,1106.29,-421.46
2019,10,26,1157.94,1093.04,-64.9
2019,10,27,1317.65,1315.77,-1.88
2019,10,28,1233.49,1233.49,0
2019,10,29,2322.19,1375.6,-946.59
2019,10,30,2481.88,1545.7,-936.18
2019,10,31,2571.94,1698.14,-873.8
2019,11,1,1784.73,1103.09,-681.64
2019,11,2,1232.93,1161.75,-71.18
2019,11,3,1938.51,1245.51,-693
2019,11,4,1370.87,1306.94,-63.93
2019,11,5,2271.8,1380.04,-891.76
2019,11,6,1915.81,1256.83,-658.98
2019,11,7,1671.7,1551.68,-120.02
2019,11,8,1857.88,1300,-557.88
2019,11,9,1381.91,1381.91,0
2019,11,10,2085.93,1504.43,-581.5
2019,11,11,1641.14,1254.65,-386.49
2019,11,12,2541.73,2088.12,-453.61
2019,11,13,2472.42,1671.38,-801.04
2019,11,14,1813.42,1661.89,-151.53
2019,11,15,1479.25,1479.25,0
2019,11,16,1695.65,1399.24,-296.41
2019,11,17,1673.89,1541.61,-132.28
2019,11,18,2354.01,1902.95,-451.06
2019,11,19,1475.13,1465.05,-10.08
2019,11,20,1992.01,1575.28,-416.73
2019,11,21,1419.41,1392.01,-27.4
2019,11,22,2029.56,1617.54,-412.02
2019,11,23,1775,1333.69,-441.31
2019,11,24,1659.1,1638.31,-20.79
2019,11,25,1866.08,1434.22,-431.86
2019,11,26,1881.52,1403.64,-477.88
2019,11,27,2072.38,1780.69,-291.69
2019,11,28,1307.26,1307.26,0
2019,11,29,1357.34,1355.76,-1.58
2019,11,30,1854.09,1425.38,-428.71
2019,12,1,1969.4,1969.4,0
2019,12,2,2128.77,2049.08,-79.69
2019,12,3,1683.04,1642.41,-40.63
2019,12,4,2433.33,2170.32,-263.01
2019,12,5,2347.08,1976.94,-370.14
2019,12,6,1823.24,1823.24,0
2019,12,7,1496.56,1496.56,0
2019,12,8,1547.89,1539.39,-8.5
2019,12,9,2477.46,2134.42,-343.04
2019,12,10,2062.3,2062.3,0
2019,12,11,2084.97,2083.09,-1.88
2019,12,12,1882.74,1693.12,-189.62
2019,12,13,2140.12,2140.12,0
2019,12,14,1684.29,1684.29,0
2019,12,15,1837.73,1604.94,-232.79
2019,12,16,2643.16,2297.28,-345.88
2019,12,17,2916.92,2379.52,-537.4
2019,12,18,1905.44,1821.97,-83.47
2019,12,19,2230.84,1754.56,-476.28
2019,12,20,1834.89,1611.24,-223.65
2019,12,21,2184.53,1658.16,-526.37
2019,12,22,1968.44,1583.21,-385.23
2019,12,23,1697.21,1597.37,-99.84
2019,12,24,1417.81,1397.34,-20.47
2019,12,25,1778.8,1443.02,-335.78
2019,12,26,1727.46,1727.46,0
2019,12,27,1507.59,1507.59,0
2019,12,28,1317,1305.66,-11.34
2019,12,29,1706.98,1706.98,0
2019,12,30,2069.26,2069.26,0
2019,12,31,1710.75,1710.75,0
2020,1,1,1796.43,1626.02,-170.41
2020,1,2,1775.01,1645.86,-129.15
2020,1,3,1943.53,1943.53,0
2020,1,4,1694.72,1694.72,0
2020,1,5,1775.04,1524.61,-250.43
2020,1,6,1825.12,1687.78,-137.34
2020,1,7,1774.7,1745.4,-29.3
2020,1,8,2074.26,1743.52,-330.74
2020,1,9,2096.29,1639.24,-457.05
2020,1,10,1841.5,1785.74,-55.76
2020,1,11,1491.18,1284.24,-206.94
2020,1,12,1836.45,1202.99,-633.46
2020,1,13,1902.87,1902.87,0
2020,1,14,2093.18,2093.18,0
2020,1,15,1855.69,1408.08,-447.61
2020,1,16,1865.09,1525.53,-339.56
2020,1,17,2203.42,1483.03,-720.39
2020,1,18,2010.63,2010.63,0
2020,1,19,1995.86,1500.06,-495.8
2020,1,20,2282.46,1510.09,-772.37
2020,1,21,2181.07,1628.23,-552.84
2020,1,22,2127.19,1623.83,-503.36
2020,1,23,1924.04,1624.78,-299.26
2020,1,24,1980.09,1395.13,-584.96
2020,1,25,1764.02,1764.02,0
2020,1,26,1838.35,1414.04,-424.31
2020,1,27,1676.11,1655.33,-20.78
2020,1,28,2014.73,1638.3,-376.43
2020,1,29,2251.01,1529.33,-721.68
2020,1,30,1956.14,1455.3,-500.84
2020,1,31,1605.59,1467.61,-137.98
2020,2,1,1525.53,1524.59,-0.94
2020,2,2,1624.14,1408.37,-215.77
2020,2,3,2116.18,1288.68,-827.5
2020,2,4,1566.8,1521.13,-45.67
2020,2,5,1734.71,1734.71,0
2020,2,6,2106.42,2106.42,0
2020,2,7,1764.95,1739.75,-25.2
2020,2,8,2002.46,1441.44,-561.02
2020,2,9,2262.29,1384.72,-877.57
2020,2,10,1850.94,1849.06,-1.88
2020,2,11,1785.12,1781.34,-3.78
2020,2,12,1885.57,1366.76,-518.81
2020,2,13,2035.23,2035.23,0
2020,2,14,2169.41,1327.74,-841.67
2020,2,15,2593.07,1383.79,-1209.28
2020,2,16,2236.17,1347.57,-888.6
2020,2,17,2435.57,1186.59,-1248.98
2020,2,18,1695.96,1499.72,-196.24
2020,2,19,2377.61,1218.74,-1158.87
2020,2,20,1563.35,1337.19,-226.16
2020,2,21,2626.51,1370.59,-1255.92
2020,2,22,2711.23,1297.49,-1413.74
2020,2,23,2677.51,1285.82,-1391.69
2020,2,24,2104.19,1241.41,-862.78
2020,2,25,1729.02,1728.71,-0.31
2020,2,26,1679.87,1670.43,-9.44
2020,2,27,2471.82,1274.81,-1197.01
2020,2,28,2151.71,1259.02,-892.69
2020,2,29,2123.45,1306.64,-816.81
2020,3,1,2893.88,1266.91,-1626.97
2020,3,2,2426.45,1231.33,-1195.12
2020,3,3,1488.38,1345.69,-142.69
2020,3,4,2496.08,1086.44,-1409.64
2020,3,5,2406.55,1088.92,-1317.63
2020,3,6,1815.34,1815.34,0
2020,3,7,3017.38,1271.97,-1745.41
2020,3,8,2818.67,1114.8,-1703.87
2020,3,9,2621.13,1080.46,-1540.67
2020,3,10,1381.24,1173.67,-207.57
2020,3,11,1903.84,1043.59,-860.25
2020,3,12,1532.76,1408.33,-124.43
2020,3,13,2110.78,1060.25,-1050.53
2020,3,14,2723.81,1005.79,-1718.02
2020,3,15,2782.69,993.82,-1788.87
2020,3,16,2320,1165.83,-1154.17
2020,3,17,1749.21,1337.5,-411.71
2020,3,18,2556.2,1105.32,-1450.88
2020,3,19,1455.6,1353.21,-102.39
2020,3,20,1720.47,1154.43,-566.04
2020,3,21,2833.13,974.94,-1858.19
2020,3,22,2573.23,1110.06,-1463.17
2020,3,23,1867.61,1866.98,-0.63
2020,3,24,2725.37,1189.74,-1535.63
2020,3,25,1645.56,1612.17,-33.39
2020,3,26,2940.84,1096.84,-1844
2020,3,27,2822.12,1038.9,-1783.22
2020,3,28,1582.85,1582.54,-0.31
2020,3,29,1557.07,1555.82,-1.25
2020,3,30,1512.64,1486.18,-26.46
2020,3,31,1589.2,1487.45,-101.75
